Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Moonstone,Grey,12.7,Cabochon Oval,Grey,Eye Clean,No Enhancement,41275.0,,15.14 x 11.55 x 9.87,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Blue,2.94,Mixed Brilliant Round,Blue,Slightly Included,Heat Treated,1237275.0,,8.33 x 8.33 x 6.23,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Brown,30.54,Cabochon Oval,Brown,Eye Clean,No Enhancement,139100.0,,27.0 x 16.87 x 9.3,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Blue Flash,3.48,Cabochon Round,Blue Flash,Very Slightly Included,No Enhancement,83850.0,,9.69 x 9.68 x 5.25,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Brown,2.5,Mixed Brilliant Oval,Green to Brown,Eye Clean,No Enhancement,2254850.0,,8.84 x 7.66 x 5.1,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Peach,27.52,Cabochon Oval,Peach,Very Very Slightly Included,No Enhancement,125125.0,,20.18 x 16.36 x 11.24,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Yellowish Brown,1.45,Radiant Cut Radiant,Yellowish Brown,Eye Clean,No Enhancement,65000.0,,7.25 x 4.92 x 4.66,Certified by Natural Sapphire Company,2025-09-08
Zircon,Yellow,1.89,Mixed Brilliant Cushion,Yellow,Very Slightly Included,Heat Treated,15925.0,,8.57 x 6.1 x 3.11,Certified by Natural Sapphire Company,2025-09-08
Peridot,Green,1.0,Mixed Brilliant Round,Green,Eye Clean,No Enhancement,9750.0,,6.26 x 6.09 x 4.0,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Brown,5.57,Mixed Brilliant Oval,Green to Brown,Eye Clean,No Enhancement,21994700.0,,11.88 x 10.11 x 5.55,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Purple,1.1,Mixed Brilliant Oval,Purple,Very Slightly Included,No Enhancement,57200.0,,6.65 x 5.46 x 3.8,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Bluish Green to Reddish Purple,1.68,Cabochon Round,Bluish Green to Reddish Purple,Very Very Slightly Included,No Enhancement,1616225.0,,6.66 x 6.4 x 4.2,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Purplish Pink,1.41,Mixed Brilliant Oval,Purplish Pink,Eye Clean,No Enhancement,73450.0,,7.4 x 5.73 x 3.98,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.15,Mixed Brilliant Round,Greenish Yellow,Very Slightly Included,No Enhancement,18850.0,,6.58 x 6.6 x 3.61,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Pink,0.29,Mixed Brilliant Oval,Green to Pink,Very Slightly Included,No Enhancement,130000.0,,4.52 x 3.38 x 2.55,Certified by Natural Sapphire Company,2025-09-08
Zircon,Orange,2.38,Mixed Brilliant Pear,Orange,Very Slightly Included,No Enhancement,54275.0,,9.77 x 6.81 x 4.59,Certified by Natural Sapphire Company,2025-09-08
Zircon,White,0.88,Mixed Brilliant Round,White,Eye Clean,No Enhancement,39975.0,,5.58 x 5.48 x 3.42,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,0.61,Cabochon Round,Greenish Yellow,Eye Clean,No Enhancement,32500.0,,5.07 x 5.06 x 2.53,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Pink,0.11,Mixed Brilliant Round,Green to Pink,Very Very Slightly Included,No Enhancement,65000.0,,3.05 x 3.05 x 1.97,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Yellowish Green,1.5,Mixed Brilliant Oval,Yellowish Green,Eye Clean,No Enhancement,65325.0,,8.07 x 6.15 x 3.84,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Blue Flash,5.03,Cabochon Oval,Blue Flash,Eye Clean,No Enhancement,26000.0,,18.47 x 6.62 x 5.48,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Yellow,1.68,Radiant Cut Radiant,Yellow,Very Slightly Included,No Enhancement,45825.0,,7.69 x 6.08 x 4.27,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Yellowish Green to Reddish Brown,4.05,Mixed Brilliant Cushion,Yellowish Green to Reddish Brown,Very Slightly Included,No Enhancement,6515600.0,,9.36 x 8.01 x 6.07,Certified by Natural Sapphire Company,2025-09-08
Spinel,Purple,2.39,Mixed Brilliant Round,Purple,Very Slightly Included,No Enhancement,155350.0,,8.35 x 8.36 x 5.09,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Greenish Blue,4.98,Mixed Brilliant Round,Greenish Blue,Very Slightly Included,No Enhancement,647400.0,,11.0 x 11.07 x 5.74,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Blue,12.57,Mixed Brilliant Cushion,Blue,Very Slightly Included,No Enhancement,8425950.0,,15.23 x 12.54 x 7.81,Certified by Natural Sapphire Company,2025-09-08
Amethyst,Purple,29.51,Mixed Brilliant Round,Purple,Eye Clean,No Enhancement,208000.0,,21.94 x 21.91 x 12.15,Certified by Natural Sapphire Company,2025-09-08
Spessartite Garnet,Orange,25.22,Mixed Brilliant Pear,Orange,Eye Clean,Heat Treated,4876950.0,,20.1 x 15.25 x 10.74,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,2.78,Radiant Cut Radiant,Greenish Yellow,Very Slightly Included,No Enhancement,108550.0,,8.25 x 6.7 x 5.75,Certified by Natural Sapphire Company,2025-09-08
