name,price_text,price_value,currency,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,collected_at
2.16ct Natural Blue Sapphire,"Rs 991,500.00",991500.0,LKR,Natural Blue Sapphire,2.16,EC,9 x 7 mm,Royal Blue,Oval,Heated,2025-09-01T11:53:40.166136+00:00
2.28ct Natural Blue Sapphire,"Rs 1,225,400.00",1225400.0,LKR,Natural Blue Sapphire,2.28,EC,7.8 x 6.61 x 5.04 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:53:46.222095+00:00
2.25ct Natural Blue Sapphire,"Rs 1,715,600.00",1715600.0,LKR,Natural Blue Sapphire,2.25,EC,8.8 x 6.8 x 3.7 mm,Royal Blue,Oval,Heated,2025-09-01T11:53:52.407592+00:00
2.22ct Natural Blue Sapphire,"Rs 1,024,900.00",1024900.0,LKR,Natural Blue Sapphire,2.22,LC,7.9 x 7.16 x 4.67 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:53:57.877724+00:00
2.34ct Natural Blue Sapphire,"Rs 891,200.00",891200.0,LKR,Natural Blue Sapphire,2.34,LC,8.85 x 6.8 x 4.6 mm,Medium Blue,Oval,Heated,2025-09-01T11:54:03.772037+00:00
2.60ct Natural Blue Sapphire,"Rs 1,581,900.00",1581900.0,LKR,Natural Blue Sapphire,2.6,EC,9.27 x 7.17 x 4.31 mm,Conflour Blue,Oval,Heated,2025-09-01T11:54:10.335264+00:00
3.23ct Natural Blue Sapphire,"Rs 1,470,500.00",1470500.0,LKR,Natural Blue Sapphire,3.23,EC,10 x 7.9 x 4.6mm,Royal Blue,Oval,Heated,2025-09-01T11:54:21.542225+00:00
1.33ct Natural Blue Sapphire,"Rs 813,200.00",813200.0,LKR,Natural Blue Sapphire,1.33,EC,7.5 x 4.4 x 3.2mm,Royal Blue,Baguette,Heated,2025-09-01T11:54:27.438004+00:00
1.48ct Natural Blue Sapphire,"Rs 902,400.00",902400.0,LKR,Natural Blue Sapphire,1.48,EC,8.2 x 4.4 x 3.8mm,Cornflower Blue,Baguette,Heated,2025-09-01T11:54:42.996863+00:00
1.51ct Natural Blue Sapphire,"Rs 523,600.00",523600.0,LKR,Natural Blue Sapphire,1.51,EC,9.5 x 4.9 x 3.9mm,Royal Blue,Marquise,Heated,2025-09-01T11:54:49.621655+00:00
1.70ct Natural Blue Sapphire,"Rs 1,559,600.00",1559600.0,LKR,Natural Blue Sapphire.,1.7,EC,7mm,Royal Blue,Princess,Heated,2025-09-01T11:54:55.770980+00:00
4.14ct Natural Blue Sapphire,"Rs 1,581,900.00",1581900.0,LKR,Natural Blue Sapphire.,4.14,EC,9.5 x 6.1 x 8mm,Royal Blue,Hexagon,Heated,2025-09-01T11:55:01.336565+00:00
2.57ct Natural Blue Sapphire,"Rs 1,827,000.00",1827000.0,LKR,Natural Blue Sapphire.,2.57,EC,7.5 x 6.9 x 4.4mm,Royal Blue,Pear,Heated,2025-09-01T11:55:09.533726+00:00
1.77ct Natural Blue Sapphire,"Rs 612,700.00",612700.0,LKR,Natural Blue Sapphire.,1.77,EC,7.5 x 6.9 x 4.4mm,Royal Blue,Trillion,Heated,2025-09-01T11:55:16.745544+00:00
1.53ct Natural Blue Sapphire,"Rs 824,400.00",824400.0,LKR,Natural Blue Sapphire.,1.53,EC,7.5mm,Royal Blue,Trillion,Heated,2025-09-01T11:55:24.465018+00:00
1.44ct Natural Blue Sapphire,"Rs 501,300.00",501300.0,LKR,Natural Blue Sapphire.,1.44,EC,7.32 x 6.59 x 3.62mm,Cornflower Blue,Heart,Heated,2025-09-01T11:55:31.370622+00:00
1.68ct Natural Blue Sapphire,"Rs 289,700.00",289700.0,LKR,Natural Blue Sapphire.,1.68,EC,7 x 8.5 mm,Blue,Heart,Heated,2025-09-01T11:55:38.198309+00:00
1.19ct Natural Blue Sapphire,"Rs 412,200.00",412200.0,LKR,Natural Blue Sapphire.,1.19,EC,6.35 x 5.92 x 3.67 mm,Cornflower Blue,Heart,Heated,2025-09-01T11:55:43.410468+00:00
1.40ct Natural Blue Sapphire,"Rs 557,000.00",557000.0,LKR,Natural Blue Sapphire.,1.4,EC,7 x 6mm,Royal Blue,Heart,Heated,2025-09-01T11:55:51.111558+00:00
1.80ct Natural Blue Sapphire,"Rs 690,700.00",690700.0,LKR,Natural Blue Sapphire.,1.8,EC,8.4 x 7.5 x 3.8 mm,Royal Blue,Heart,Heated,2025-09-01T11:55:59.514816+00:00
2.12ct Natural Blue Sapphire,"Rs 1,459,300.00",1459300.0,LKR,Natural Blue Sapphire.,2.12,EC,8.86 x 6.55 x 4.68 mm,Royal Blue,Heart,Heated,2025-09-01T11:56:06.803741+00:00
2.54ct Natural Blue Sapphire,"Rs 1,169,700.00",1169700.0,LKR,Natural Blue Sapphire.,2.54,EC,9.4 x 7.2 x 4.8 mm,Royal Blue,Heart,Heated,2025-09-01T11:56:12.520252+00:00
2.03ct Natural Blue Sapphire,"Rs 779,800.00",779800.0,LKR,Natural Blue Sapphire.,2.03,EC,9.2 x 7 x 4.5 mm,Royal Blue,Heart,Heated,2025-09-01T11:56:18.215663+00:00
1.02ct Natural Blue Sapphire,"Rs 389,900.00",389900.0,LKR,Natural Blue Sapphire.,1.02,EC,5.5 mm,Royal Blue,Round,Heated,2025-09-01T11:56:24.904670+00:00
0.82ct Natural Blue Sapphire,"Rs 534,800.00",534800.0,LKR,Natural Blue Sapphire.,0.82,EC,5.8 mm,Royal Blue,Round,Heated,2025-09-01T11:56:32.674267+00:00
1.09ct Natural Blue Sapphire,"Rs 374,300.00",374300.0,LKR,Natural Blue Sapphire,1.09,EC,,Vivid Royal Blue,Round,Heated,2025-09-01T11:56:38.871410+00:00
0.90ct Natural Blue Sapphire,"Rs 343,200.00",343200.0,LKR,Natural Blue Sapphire,0.9,LC,5.8 mm,Vivid Royal Blue,Round,Heated,2025-09-01T11:56:45.884596+00:00
1.04ct Natural Blue Sapphire,"Rs 356,500.00",356500.0,LKR,Natural Blue Sapphire,1.04,EC,5.6 mm,Royal Blue,Round,Heated,2025-09-01T11:56:52.826277+00:00
1.17ct Natural Blue Sapphire,"Rs 623,900.00",623900.0,LKR,Natural Blue Sapphire.,1.17,EC,5.7 mm,Royal Blue,Round,Heated,2025-09-01T11:57:00.851332+00:00
1.74ct Natural Blue Sapphire,"Rs 1,126,300.00",1126300.0,LKR,Natural Blue Sapphire.,1.74,EC,7 mm,Royal Blue,Round,Heated,2025-09-01T11:57:08.361022+00:00
1.50ct Natural Blue Sapphire,"Rs 1,713,300.00",1713300.0,LKR,Natural Blue Sapphire.,1.5,EC,6.8x6.8x4.5 mm,Cornflower,Round,Heated,2025-09-01T11:57:16.331625+00:00
0.69ct Natural Blue Sapphire,"Rs 207,200.00",207200.0,LKR,Natural Blue Sapphire,0.69,EC,,Blue,Brilliant,Heated,2025-09-01T11:57:22.244394+00:00
1.43ct Natural Royal Blue Sapphire,"Rs 334,200.00",334200.0,LKR,Natural Blue Sapphire,1.43,EC,,Royal Blue,Trillion,Heated,2025-09-01T11:57:41.712994+00:00
1.25ct Natural Royal Blue Sapphire,"Rs 317,500.00",317500.0,LKR,Natural Blue Sapphire,1.25,EC,,Royal Blue,Pear,Heated,2025-09-01T11:57:50.088162+00:00
1.39ct Natural Cournflower Blue Sapphire,"Rs 549,200.00",549200.0,LKR,Natural Blue Sapphire,1.39,LC,,Cornflower Blue,Pear,Heated,2025-09-01T11:57:55.900324+00:00
4.23ct Natural Unheated Blue Sapphire,"Rs 1,410,300.00",1410300.0,LKR,Unheated Blue Sapphire,4.23,,11.3x8.8x4.4 mm,Blue,Brilliant,Unheated,2025-09-01T11:58:02.490364+00:00
4.22ct Natural Unheated  Blue Sapphire,"Rs 1,410,300.00",1410300.0,LKR,Unheated Blue Sapphire,4.22,,8.4x4x8.4x7.2mm,Greenish Blue,Brilliant,Unheated,2025-09-01T11:58:08.227725+00:00
11.40ct  Blue Sapphire Layout,"Rs 2,183,400.00",2183400.0,LKR,Blue Sapphire,11.4,,6x4 mm,Cornflower,Oval,,2025-09-01T11:58:15.013042+00:00
2.39ct Natural Unheated Blue Sapphire,"Rs 1,597,500.00",1597500.0,LKR,Unheated Blue Sapphire,2.39,,8.0 x 7.1 x 4.0mm,Cornflower,Cushion,Unheated,2025-09-01T11:58:23.111314+00:00
4.11ct Natural Blue Sapphire Pair,"Rs 1,602,400.00",1602400.0,LKR,Natural Blue Sapphire,4.11,EC,,Cornflower Blue,Oval,Heated,2025-09-01T11:58:29.327727+00:00
1.60ct Natural Unheated  Blue Sapphire,"Rs 884,500.00",884500.0,LKR,Unheated Blue Sapphire,1.6,,8 x 5.8 x 3.8mm,Cornflower,Oval,Unheated,2025-09-01T11:58:35.250515+00:00
2.62ct Natural Unheated Blue Sapphire,"Rs 1,751,200.00",1751200.0,LKR,Unheated Blue Sapphire,2.62,,8.0x7.1x4.5mm,Cornflower,Cushion,Unheated,2025-09-01T11:58:43.725394+00:00
2.36ct Natural Blue Sapphire,"Rs 1,577,400.00",1577400.0,LKR,Natural Blue Sapphire,2.36,,8.38x6.53x4.62mm,Cornflower,Oval,,2025-09-01T11:58:51.474122+00:00
1.15ct Natural Unheated Blue Sapphire,"Rs 267,400.00",267400.0,LKR,Natural Unheated Blue Sapphire,1.15,LC,7 x 5mm,Medium Blue,Pear,Unheated,2025-09-01T11:58:59.057891+00:00
2.82ct Natural Blue Sapphire,"Rs 156,000.00",156000.0,LKR,Natural Blue Sapphire,2.82,,7 x 5mm,Cornflower,Briolette,,2025-09-01T11:59:06.836916+00:00
1.32ct Natural Blue Sapphire,"Rs 294,100.00",294100.0,LKR,Natural Blue Sapphire,1.32,,7.30x6.06x3.21 mm,Cornflower,Oval,,2025-09-01T11:59:12.693140+00:00
1.12ct Natural Blue Sapphire,"Rs 443,400.00",443400.0,LKR,Natural Unheated Blue Sapphire,1.12,,5.11x7.86x3.79 mm,Royal Blue,Pear,,2025-09-01T11:59:20.239542+00:00
0.99ct Natural Blue Sapphire.,"Rs 300,800.00",300800.0,LKR,Natural Blue Sapphire,0.99,,7.5x6x2.65 mm,Vivid Royal Blue,Pear,,2025-09-01T11:59:28.400390+00:00
2.07ct Natural Blue Sapphire.,"Rs 748,600.00",748600.0,LKR,Natural Blue Sapphire,2.07,,7.6x6.42x4.79 mm,Royal Blue,Oval,,2025-09-01T11:59:35.658601+00:00
1.32ct Natural Blue Sapphire,"Rs 367,700.00",367700.0,LKR,Natural Blue Sapphire,1.32,,5.87x9.28x3.29 mm,Royal Blue,Pear,,2025-09-01T11:59:41.275616+00:00
1.02ct Natural Blue Sapphire,"Rs 402,900.00",402900.0,LKR,Natural Blue Sapphire,1.02,,7.65x5.60x3.23 mm,Corn Flower Blue,Pear,,2025-09-01T11:59:48.408174+00:00
2.13ct Natural Blue Sapphire,"Rs 713,000.00",713000.0,LKR,Natural Blue Sapphire,2.13,,8.71x6.53x4.07mm,Cornflower Blue,Oval,,2025-09-01T11:59:56.664133+00:00
1.78ct Natural Blue Sapphire,"Rs 445,600.00",445600.0,LKR,Natural Blue Sapphire,1.78,EC,7.87x6.95x4.42 mm,Royal Blue,Trillion,,2025-09-01T12:00:04.993373+00:00
2.79ct Natural Blue Sapphire,"Rs 330,200.00",330200.0,LKR,Natural Blue Sapphire,2.79,EC,10.5x7.1x4 mm,Corn Flower,Cabochon,,2025-09-01T12:00:11.893147+00:00
1.29ct Natural Unheated Blue Sapphire,"Rs 178,300.00",178300.0,LKR,Natural Blue Sapphire,1.29,EC,,Royal Blue,Cushion,Unheated,2025-09-01T12:00:17.712468+00:00
22.89ct 3mm up  Princess Natural Blue Sapphire,"Rs 969,200.00",969200.0,LKR,Natural Blue Sapphire,22.89,EC,3mm,Corn Flower,Rectangle,,2025-09-01T12:00:24.718900+00:00
2.02ct Natural Blue Sapphire,"Rs 877,900.00",877900.0,LKR,Natural Blue Sapphire,,EC,6.3× 6.3 × 5.3 mm,Blue,Cushion,,2025-09-01T12:00:40.369251+00:00
1.81ct Blue Sapphire - 2 Pcs,"Rs 453,400.00",453400.0,LKR,Natural Blue Sapphire,1.81,,,Blue,Pear,,2025-09-01T12:00:47.705287+00:00
14.45ct Natural Blue Sapphire Lot,"Rs 207,200.00",207200.0,LKR,Natural Blue Sapphire Lot,14.45,,2.1 mm,Medium Blue,Round,,2025-09-01T12:00:55.876943+00:00
1.28ct Natural Blue Sapphire,"Rs 222,800.00",222800.0,LKR,Natural Blue Sapphire,1.28,,6.4 × 5.8 × 3.9 mm,Cornflower Blue,Cushion,,2025-09-01T12:01:01.936850+00:00
4.50ct Natural Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,Natural Blue Sapphire,4.5,,7.4 ×6.5 mm,Corn Flower,Cushion,,2025-09-01T12:01:11.155651+00:00
2.30ct Natural  Blue Sapphire,"Rs 2,272,500.00",2272500.0,LKR,Natural Blue Sapphire,2.3,EC,7.5 × 7.3 × 4 mm,Royal Blue,Cushion,,2025-09-01T12:01:17.508275+00:00
1.64ct Natural  Blue Sapphire,"Rs 835,500.00",835500.0,LKR,Natural Blue Sapphire,1.64,EC,5.5 mm,Royal Blue,Round,,2025-09-01T12:01:25.550734+00:00
1.50ct Natural  Blue Sapphire,"Rs 512,500.00",512500.0,LKR,Natural Blue Sapphire,1.5,EC,5.4 mm,Royal Blue,Round,,2025-09-01T12:01:31.910811+00:00
1.12ct Pear Natural Blue Sapphire,"Rs 434,500.00",434500.0,LKR,Natural blue sapphire,1.12,EC,7.5 x 5.5 mm,Royal Blue,Pear,,2025-09-01T12:01:37.627084+00:00
1.13ct Pear Natural blue sapphire,"Rs 289,700.00",289700.0,LKR,Natural blue sapphire,1.13,EC,7.39 x 5.79 x 3.20 mm,Corn Flower,Pear,,2025-09-01T12:01:44.237993+00:00
4.39ct Natural Blue Sapphire Pair,"Rs 2,227,800.00",2227800.0,LKR,Natural Blue Sapphire,4.39,EC,,Cornflower Blue,Oval,,2025-09-01T12:01:50.387998+00:00
49.25ct Natural  Blue Sapphire 7x5mm oval & Pear shape,"Rs 1,997,100.00",1997100.0,LKR,Natural Blue Sapphire,49.25,EC,7x5mm,Cornflower Blue,Oval,,2025-09-01T12:01:59.309383+00:00
2.18ct Natural  Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,Natural Blue Sapphire,2.18,EC,8.8x7.05x4.9mm,Cornflower Blue,Pear,,2025-09-01T12:02:07.392426+00:00
1.71ct Natural Blue Sapphire,"Rs 490,200.00",490200.0,LKR,Natural Blue Sapphire,1.71,EC,6.30mm,Royal Blue,Round,,2025-09-01T12:02:14.591201+00:00
2.37ct Natural Blue Sapphire,"Rs 1,971,800.00",1971800.0,LKR,Natural Blue Sapphire,2.37,EC,,Cornflower Blue,Pear,,2025-09-01T12:02:20.250070+00:00
22.24ct Natural Blue Sapphire 4x3 Oval One lot,"Rs 334,200.00",334200.0,LKR,Natural Blue Sapphire,22.24,EC,4x3mm,Light Blue,Oval,,2025-09-01T12:02:26.858923+00:00
22.80ct Natural Blue Sapphire,"Rs 534,800.00",534800.0,LKR,Natural Blue Sapphire,15.06,EC,4x3mm,Medium Blue,Oval,,2025-09-01T12:02:34.127945+00:00
2.57ct Natural Blue Sapphire,"Rs 735,300.00",735300.0,LKR,Natural Blue Sapphire,2.57,EC,,Medium Blue,Princess,,2025-09-01T12:02:41.530336+00:00
2.69ct Natural Blue Sapphire Pair,"Rs 1,804,700.00",1804700.0,LKR,Natural Blue Sapphire,2.69,EC,,Medium Blue,Oval,Unheated,2025-09-01T12:02:49.744214+00:00
1.73ct Natural Unheated Blue Sapphire,"Rs 534,800.00",534800.0,LKR,Natural Unheated Blue Sapphire,1.73,LC,6.9 x 5.7 x 4.8mm,Blue,Cushion,Unheated,2025-09-01T12:02:57.784653+00:00
3.86ct Natural Unheated Blue Sapphire,"Rs 860,000.00",860000.0,LKR,Unheated Blue Sapphire,3.86,,9.5 x 8.5 x 5.3mm,Cornflower,Cushion,Unheated,2025-09-01T12:03:04.112399+00:00
2.11ct Natural Blue Sapphire,"Rs 1,292,300.00",1292300.0,LKR,Natural Blue Sapphire,2.11,,8.5x7.5x3.9mm,Cornflower,Oval,,2025-09-01T12:03:09.791470+00:00
1.92ct Natural Unheated Blue Sapphire Pair,"Rs 374,300.00",374300.0,LKR,Natural Unheated Blue Sapphire,1.92,,5.8 mm,Cornflower,Cushion,Unheated,2025-09-01T12:03:17.653661+00:00
2.10ct Natural Blue Sapphire,"Rs 525,800.00",525800.0,LKR,Natural Blue Sapphire,2.1,,10.6 x7.2 x3.8 mm,Cornflower Blue,Pear,,2025-09-01T12:03:23.903988+00:00
2.20ct Natural Blue Sapphire,"Rs 1,047,200.00",1047200.0,LKR,Natural Blue Sapphire,2.2,,8.66x6.4x4.28 mm,Corn Flower,Oval,,2025-09-01T12:03:42.448452+00:00
1.92ct Natural Blue Sapphire,"Rs 962,500.00",962500.0,LKR,Natural Blue Sapphire,1.92,,7.13x6.18x4.83 mm,Royal Blue,Oval,,2025-09-01T12:03:49.102579+00:00
1.34ct Natural Unheated Blue Sapphire,"Rs 222,800.00",222800.0,LKR,Natural Unheated Blue Sapphire,1.34,,8x6 mm,Purple,Oval,Unheated,2025-09-01T12:03:54.571189+00:00
2.15ct Natural Blue Sapphire,"Rs 412,200.00",412200.0,LKR,Natural Natural Blue Sapphire,2.15,,8.6x6.6x4.4 mm,Cornflower Blue,Oval,,2025-09-01T12:04:00.007475+00:00
3.69ct Natural Unheated Fancy Sapphire,"Rs 690,700.00",690700.0,LKR,Natural Unheated Fancy Sapphire,3.69,,8.5x8.1x5 mm,Fancy,Cushion,Unheated,2025-09-01T12:04:07.192511+00:00
0.85ct Natural Unheated Sapphire,"Rs 267,400.00",267400.0,LKR,Natural Blue Sapphire,0.85,EC,6x4.5x3.5mm,Royal Blue,Oval,Unheated,2025-09-01T12:04:12.640554+00:00
2.55ct Natural Unheated Blue Sapphire,"Rs 599,400.00",599400.0,LKR,Natural Blue Sapphire,2.55,EC,9.0x6.8x4.9mm,Cornflower,Oval,Unheated,2025-09-01T12:04:20.339759+00:00
4.16ct Natural Blue Sapphire,"Rs 523,600.00",523600.0,LKR,Natural Blue Sapphire,4.16,EC,9.3x6.3 mm,Vivid Ccornflower,Mixed,,2025-09-01T12:04:27.071341+00:00
2.00ct Natural Unheated Blue Sapphire,"Rs 445,600.00",445600.0,LKR,Natural Unheated Blue Sapphire,2.0,EC,7.3x7.3x3.6 mm,Medium Blue,Cushion,Unheated,2025-09-01T12:04:33.732740+00:00
2.44ct Natural Blue Sapphire,"Rs 746,400.00",746400.0,LKR,Natural Blue Sapphire,2.44,,10.68x6.47x4.74 mm,Cornflower Blue,Pear,,2025-09-01T12:04:39.698756+00:00
2.45ct Natural Blue Sapphire,"Rs 1,024,900.00",1024900.0,LKR,Natural Blue Sapphire,2.45,,11.0x6.7 mm,Cornflower Blue,Pear,,2025-09-01T12:04:47.669025+00:00
5.8mm Round (D) Natural  Blue Sapphire,"Rs 270,700.00",270700.0,LKR,Natural Blue Sapphire,1.08,EC,5.8mm,,Round,,2025-09-01T12:04:58.387365+00:00
3.16ct  Natural  Blue Sapphire,"Rs 1,232,100.00",1232100.0,LKR,Natural Blue Sapphire,3.16,EC,9.9 × 7.5 x 5.2 mm,Cornflower Blue,Pear,,2025-09-01T12:05:03.709592+00:00
2.50ct Natural  Blue Sapphire,"Rs 757,500.00",757500.0,LKR,Natural Blue Sapphire,2.5,EC,6 mm,Royal Blue,Round,,2025-09-01T12:05:11.662380+00:00
2.12ct Natural  Blue Sapphire,"Rs 980,300.00",980300.0,LKR,Natural Blue Sapphire,2.12,EC,7.6X7.0X4.5mm,Cornflower Blue,Cushion,,2025-09-01T12:05:17.914241+00:00
1.50ct Natural Blue Sapphire,"Rs 523,600.00",523600.0,LKR,Natural Blue Sapphire,1.5,EC,6.4x6.1x4.5mm,Cornflower Blue,Cushion,,2025-09-01T12:05:23.379478+00:00
1.38ct Natural Unheated Blue Sapphire Pair,"Rs 142,600.00",142600.0,LKR,Natural Unheated Blue Sapphire,1.38,,5.0mm,Blue,Cushion,Unheated,2025-09-01T12:05:30.358796+00:00
2.69ct Natural Blue Sapphire,"Rs 1,125,200.00",1125200.0,LKR,Natural Blue Sapphire,2.69,,8.82x7.11mm,Cornflower Blue,Oval,,2025-09-01T12:05:38.900105+00:00
2.02ct Natural Blue Sapphire,"Rs 1,169,700.00",1169700.0,LKR,Natural Blue Sapphire,2.02,,8.61x7.0x4.18 mm,Cornflower Blue,Oval,,2025-09-01T12:05:44.511530+00:00
2.05ct Natural Blue Sapphire,"Rs 949,200.00",949200.0,LKR,Natural Blue Sapphire,2.05,LC,9.4 × 5.5 × 4.7 mm,Blue,Pear,,2025-09-01T12:05:51.594461+00:00
1.27ct Pear Natural blue sapphire,"Rs 303,000.00",303000.0,LKR,Natural blue sapphire,1.27,EC,6.7 ×6.3 mm,Royal Blue,Pear,,2025-09-01T12:05:59.557413+00:00
1.76ct Natural  Blue Sapphire,"Rs 1,019,600.00",1019600.0,LKR,Natural Blue Sapphire,1.76,EC,7.3mm,Cornflower Blue,Round,,2025-09-01T12:06:06.001923+00:00
1.96ct Natural Blue Sapphire,"Rs 1,069,500.00",1069500.0,LKR,Natural Blue Sapphire,1.96,EC,7.50mm,Cornflower Blue,Trillion,,2025-09-01T12:06:14.188238+00:00
1.48ct Natural Blue Sapphire,"Rs 769,300.00",769300.0,LKR,Natural Blue Sapphire,1.48,EC,7.0mm,Cornflower Blue,Round,,2025-09-01T12:06:23.343381+00:00
1.64ct 1 Pair of Natural Blue Sapphire,"Rs 189,600.00",189600.0,LKR,Natural Blue Sapphire,1.64,EC,6.0mm,Medium Blue,Round,,2025-09-01T12:06:41.916628+00:00
2.38ct Natural Blue Sapphire,"Rs 635,500.00",635500.0,LKR,Natural Blue Sapphire,2.38,LC,8.2 x 7 x 4mm,Royal Blue,Cushion,Heated,2025-09-01T12:06:49.514914+00:00
2.47ct Natural  Blue Sapphire,"Rs 512,900.00",512900.0,LKR,Natural Blue Sapphire,2.47,EC,9.56 × 7.09 × 3.55 mm,Cornflower Blue,Emerald Cut,,2025-09-01T12:06:55.576121+00:00
1.41ct Natural Yellow Sapphire,"Rs 222,800.00",222800.0,LKR,Natural Yellow Sapphire,1.41,EC,6.8 x 5.7 x 4mm,Yellow,Cushion,Heated,2025-09-01T13:08:28.943892+00:00
3.75ct Natural Yellow Sapphire,"Rs 846,700.00",846700.0,LKR,Natural Yellow Sapphire,3.75,EC,8.3 x 8 x 8mm,Yellow,Cushion,Heated,2025-09-01T13:08:37.560739+00:00
2.11ct Natural Yellow Sapphire,"Rs 245,100.00",245100.0,LKR,Natural Yellow Sapphire,2.11,EC,9.00 x 6.20 x 4.40 mm,Yellow,Oval,Heated,2025-09-01T13:08:46.519220+00:00
1.69ct Natural Yellow Sapphire,"Rs 267,400.00",267400.0,LKR,Natural Yellow Sapphire,1.69,LC,7 x 5.6 x 4.1mm,Yellow,Cushion,Heated,2025-09-01T13:08:54.378458+00:00
1.96ct Natural Yellow Sapphire,"Rs 300,800.00",300800.0,LKR,Natural Yellow Sapphire,1.96,EC,7.1 x 7 x 4.8mm,Yellow,Cushion,Heated,2025-09-01T13:09:02.956503+00:00
2.69ct Natural Yellow Sapphire,"Rs 612,700.00",612700.0,LKR,Natural Yellow Sapphire,2.69,EC,10.27 x 7.21 x 3.61mm,Yellow,Cushion,Heated,2025-09-01T13:09:10.202338+00:00
4.16ct Natural Yellow Sapphire,"Rs 1,024,900.00",1024900.0,LKR,Natural Yellow Sapphire,4.16,EC,10.2 x 8 x 5mm,Yellow,Cushion,Heated,2025-09-01T13:09:18.495730+00:00
4.63ct Natural Orange Sapphire,"Rs 2,227,800.00",2227800.0,LKR,Natural Orange Sapphire,4.63,EC,11.7 x 8.5 x 5.8mm,Yellowish Orange,Oval,Heated,2025-09-01T13:09:28.250765+00:00
2.17ct Natural Yellow Sapphire,"Rs 501,300.00",501300.0,LKR,Natural Yellow Sapphire,2.17,EC,8.7 x 7.2mm,Medium Yellow,Oval,Heated,2025-09-01T13:09:36.896090+00:00
2.64ct Natural Yellow Sapphire,"Rs 601,600.00",601600.0,LKR,Natural Yellow Sapphire,2.64,EC,8.5 x 7.5 x 5.5mm,Orangish Yellow,Oval,Heated,2025-09-01T13:09:49.557094+00:00
7.74ct Natural Yellow Sapphire,"Rs 1,838,100.00",1838100.0,LKR,Natural Yellow Sapphire,7.74,EC,12.3 x 10.4mm,Orangish Yellow,Oval,Heated,2025-09-01T13:09:59.165350+00:00
3.82ct Natural Yellow Sapphire,"Rs 1,091,800.00",1091800.0,LKR,Natural Yellow Sapphire,3.82,EC,10.5X8.00mm,Medium Yellow,Oval,,2025-09-01T13:10:08.707181+00:00
4.59ct Natural Yellow Sapphire,"Rs 1,292,300.00",1292300.0,LKR,Natural Yellow Sapphire,4.59,EC,10.3X9.0X6.0mm,Deep Yellow,Oval,,2025-09-01T13:10:16.088491+00:00
2.27ct Natural Yellow Sapphire,"Rs 441,200.00",441200.0,LKR,Natural Yellow Sapphire,,EC,,Yellow,Radiant,,2025-09-01T13:10:24.678897+00:00
2.67ct Natural Yellow Sapphire,"Rs 623,900.00",623900.0,LKR,Natural Yellow Sapphire,,EC,,Yellow,Oval,,2025-09-01T13:10:32.963383+00:00
51.86ct Triangle Natural Yellow Sapphire,"Rs 1,742,300.00",1742300.0,LKR,Natural Yellow Sapphire,,EC,,Yellow,Mixed,,2025-09-01T13:10:40.066698+00:00
6.65 ct Natural Yellow Sapphire,"Rs 1,733,400.00",1733400.0,LKR,Natural Yellow Sapphire,6.65,,7.8 mm,Yellow,Round,,2025-09-01T13:10:47.274916+00:00
17.43ct Natural Yellow Sapphire,"Rs 2,018,600.00",2018600.0,LKR,Natural Yellow Sapphire,,,5.5 mm,Yellow,Cushion,,2025-09-01T13:10:56.924141+00:00
2.07ct Natural Orange Sapphire,"Rs 418,900.00",418900.0,LKR,Natural Orange Sapphire,2.07,,7.49 × 7.30 × 3.88 mm,Orange,Emerald Cut,,2025-09-01T13:11:03.867186+00:00
4.22ct Natural Yellow Sapphire 3 Pcs,"Rs 488,000.00",488000.0,LKR,Natural Yellow Sapphire 3 Pcs,4.22,EC,,Yellow,Pear,,2025-09-01T13:11:12.651154+00:00
14.89ct Natural Yellow Sapphire,"Rs 2,138,900.00",2138900.0,LKR,Natural Yellow Sapphire 8 Pcs,14.89,EC,,Sunny Yellow,Cushion,,2025-09-01T13:11:20.902246+00:00
2.16ct Natural Unheaetd Yellow Sapphire,"Rs 356,500.00",356500.0,LKR,Natural Unheaed Yellow Sapphire,2.16,LC,,Yellow,Oval,,2025-09-01T13:11:29.273646+00:00
2.21ct Natural Unheated Yellow Sapphire,"Rs 378,800.00",378800.0,LKR,Natural Yellow Sapphire,2.21,LC,,Yellow,Oval,Unheated,2025-09-01T13:11:38.114579+00:00
9.64ct Natural Yellow Sapphire,"Rs 2,116,600.00",2116600.0,LKR,Natural Yellow Sapphire,9.64,EC,,Yellow,Cushion,,2025-09-01T13:11:46.406023+00:00
4.50ct Natural Unheated Yellow Sapphire,"Rs 779,800.00",779800.0,LKR,Natural Yellow Sapphire,4.5,EC,,Yellow,Cushion,Unheated,2025-09-01T13:12:03.043854+00:00
4.81ct Natural Unheated Yellow Sapphire,"Rs 975,900.00",975900.0,LKR,Natural Yellow Sapphire,4.81,EC,,Yellow,Oval,Unheated,2025-09-01T13:12:10.782326+00:00
5.48ct Natural Unheated Yellow Sapphire,"Rs 1,109,600.00",1109600.0,LKR,Natural Yellow Sapphire,5.48,EC,,Yellow,Oval,Unheated,2025-09-01T13:12:18.071267+00:00
