name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
3.86ct Natural Unheated Blue Sapphire,"Rs 860,000.00",860000.0,LKR,https://wijayagems.com/products/3-86ct-natural-unheated-blue-sapphire,Unheated Blue Sapphire,3.86,,9.5 x 8.5 x 5.3mm,Cornflower Shape,Cushion,,2025-09-01T12:03:04.112399+00:00,"Gem type: Unheated Blue Sapphire
Weight: 3.86 carat
Size: 9.5 x 8.5 x 5.3mm
Colour: Cornflower
Shape & Cut: Cushion / Step Cut
SKU : CR/6243 N"
2.11ct Natural Blue Sapphire,"Rs 1,292,300.00",1292300.0,LKR,https://wijayagems.com/products/2-11ct-natural-blue-sapphire-1,Natural Blue Sapphire,2.11,,8.5x7.5x3.9mm,Cornflower Shape,Oval,,2025-09-01T12:03:09.791470+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.11 carat
Size:  8.5x7.5x3.9mm
Colour: Cornflower
Shape & Cut: Oval / Step Cut
Certificate :  FK9.061
SKU : CR/6965"
1.92ct Natural Unheated Blue Sapphire Pair,"Rs 374,300.00",374300.0,LKR,https://wijayagems.com/products/1-92ct-natural-unheated-blue-sapphire-pair,Natural Unheated Blue Sapphire,1.92,,5.8 mm,Cornflower Shape,Cushion,,2025-09-01T12:03:17.653661+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.92 carat
Size: 5.8 mm
Colour: Cornflower
Shape & Cut: Cushion  / Step Cut
SKU : CPG14"
2.10ct Natural Blue Sapphire,"Rs 525,800.00",525800.0,LKR,https://wijayagems.com/products/2-10ct-natural-blue-sapphire-1,Natural Blue Sapphire,2.10,,10.6 x7.2 x3.8 mm,Cornflower Blue Shape,Pear,,2025-09-01T12:03:23.903988+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.10carat
Size : 10.6 x7.2 x3.8  mm
Colour: Cornflower Blue
Shape & Cut: Pear/ Step Cut
Certificate : GGTL-88161-88
SKU : BS/055"
2.20ct Natural Blue Sapphire,"Rs 1,047,200.00",1047200.0,LKR,https://wijayagems.com/products/2-20ct-natural-blue-sapphire,Natural Blue Sapphire,2.20,,8.66x6.4x4.28 mm,Corn Flower Shape,Oval,,2025-09-01T12:03:42.448452+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.20carat
Size: 8.66x6.4x4.28 mm
Colour: Corn Flower
Shape & Cut: Oval / Step Cut
Certificate : FL1-319
SKU : RU42M-BS-138"
1.92ct Natural Blue Sapphire,"Rs 962,500.00",962500.0,LKR,https://wijayagems.com/products/1-92ct-natural-blue-sapphire-1,Natural Blue Sapphire,1.92,,7.13x6.18x4.83 mm,Royal Blue Shape,Oval,,2025-09-01T12:03:49.102579+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.92carat
Size: 7.13x6.18x4.83 mm
Colour: Royal Blue
Shape & Cut: Oval/ Step Cut
Certificate : WG-856
SKU : RU42M-BS-126-(1-1)"
1.34ct Natural Unheated Blue Sapphire,"Rs 222,800.00",222800.0,LKR,https://wijayagems.com/products/1-34ct-natural-unheated-blue-sapphire-1,Natural Unheated Blue Sapphire,1.34,,8x6 mm,Purple Shape,Oval,,2025-09-01T12:03:54.571189+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.34carat
Size: 8x6 mm
Colour: Purple
Shape & Cut: Oval/ Step Cut
Certificate : LGL-853-169
SKU : CR-7905(N)"
2.15ct Natural Blue Sapphire,"Rs 412,200.00",412200.0,LKR,https://wijayagems.com/products/2-15ct-natural-blue-sapphire-1,Natural Natural Blue Sapphire,2.15,,8.6x6.6x4.4 mm,Cornflower Blue Shape,Oval,,2025-09-01T12:04:00.007475+00:00,"Gem type: Natural Natural Blue Sapphire
Weight: 2.15carat
Size: 8.6x6.6x4.4 mm
Colour: Cornflower Blue
Shape & Cut: Oval/ Step Cut
SKU : CR-6911"
3.69ct Natural Unheated Fancy Sapphire,"Rs 690,700.00",690700.0,LKR,https://wijayagems.com/products/3-69ct-natural-unheated-fancy-sapphire-1,Natural Unheated Fancy Sapphire,3.69,,8.5x8.1x5 mm,Fancy Shape,Cushion,,2025-09-01T12:04:07.192511+00:00,"Gem type: Natural Unheated Fancy Sapphire
Weight: 3.69carat
Size: 8.5x8.1x5 mm
Colour: Fancy
Shape & Cut: Cushion/ Step Cut
Certificate : LGL-201120
SKU : CR/6444.6."
0.85ct Natural Unheated Sapphire,"Rs 267,400.00",267400.0,LKR,https://wijayagems.com/products/0-85ct-natural-unheated-sapphire-1,Natural Blue Sapphire,0.85,Eye Clean Size,6x4.5x3.5mm,Royal Blue Shape,Oval mixed cut Treatment,Unheated Certificate,2025-09-01T12:04:12.640554+00:00,"Gem type: Natural Blue Sapphire
Weight: 0.85carat
Clarity: Eye Clean
Size : 6x4.5x3.5mm
Colour: Royal Blue
Shape & Cut: Oval mixed cut
Treatment : Unheated
Certificate : GGTL 87454"
